uberon_id,name
UBERON:0000001,name_1
UBERON:0000002,name_2
UBERON:0000003,name_3
UBERON:0000004,name_4
UBERON:0000005,name_5
UBERON:0000006,name_6
UBERON:0000007,name_7
UBERON:0000008,name_8
UBERON:0000009,name_9
UBERON:0000010,name_10
UBERON:0000011,name_11
UBERON:0000012,name_12
UBERON:0000013,name_13
UBERON:0000014,name_14
UBERON:0000015,name_15
UBERON:0000016,name_16
UBERON:0000017,name_17
UBERON:0000018,name_18
UBERON:0000019,name_19
UBERON:0000020,name_20
UBERON:0000021,name_21
UBERON:0000022,name_22
UBERON:0000023,name_23
UBERON:0000024,name_24
UBERON:0000025,name_25
UBERON:0000026,name_26
UBERON:0000027,name_27
UBERON:0000028,name_28
UBERON:0000029,name_29
UBERON:0000030,name_30
